geometry,amplitude,seed,n,dissonance,d_roughness,d_inharmonic,r_global,r_local,fragmentation,r_between,harmonic_purity,mean_incoherence,bifurcation_concentration,bifurcation_excess,branch_over_chain_mismatch,dissonance_intensive,defect_density,freq_spread_hz
tree,6.0,1,626,0.015812244295334513,0.015812244295334513,6.342435465886593e-06,0.9387052655220032,0.9480928727049076,0.009387607182904434,0.995623948064503,0.9251847416336736,0.02282339707016945,1.2758434606337277,1.0865067944989488,0.74809750133166,0.017619671165264725,0.003696047108939422,0.0002673911435349979
tree,6.0,2,626,0.027163722617496795,0.027163722617496795,4.15972677041755e-05,0.9339078068733215,0.9431193355380151,0.009211528664693547,0.99605102925446,0.9620210242328043,0.024536775425076485,1.2284914131019513,1.0555726754706705,0.7169394090548858,0.030589694038392467,0.003790014408319238,0.0006921819415766423
tree,8.0,0,626,0.0015959867120348046,0.0015959867120348046,6.453510167534676e-08,0.9731128215789795,0.9786373015836775,0.0055244800046979625,0.9968966950352913,0.9524310320292853,0.009602518752217293,1.3168481487712935,1.1018022363155633,0.8466138966849783,0.0016690500888876564,0.0,2.4809124807340402e-05
tree,8.0,1,626,0.0017960963293626364,0.0017960963293626364,7.551021524094129e-08,0.976286768913269,0.9810728705305172,0.0047861016172481285,0.9982740113925795,0.9490929119623297,0.008922621607780457,1.2921427274057329,1.0899968130805449,0.7694447306573247,0.00186898199963138,0.0,2.7212154770613012e-05
tree,8.0,2,626,0.0031578111789943575,0.0031578111789943575,2.19036178635809e-07,0.972785234451294,0.9778285510691892,0.005043316617895255,0.9984841349296102,0.9765712537101927,0.009904064238071442,1.2976678004006896,1.1119164828516617,0.7251328324539981,0.003307821053584032,0.0,4.6220511707716694e-05
lattice,0.0,0,625,0.05590441522565982,0.05590441522565982,0.04331308503215283,0.052957020699977875,0.29232745449688835,0.23937043379691048,0.2051529868579017,0.1784527307398091,0.39438772201538086,nan,nan,nan,0.6653380781175416,0.3180235294117647,0.14785681256785696
lattice,0.0,1,625,0.05617557074833237,0.05617557074833237,0.019148206422124236,0.05221656337380409,0.2870791255497948,0.23486256217599072,0.18021265221393964,0.16365892471144095,0.38126301765441895,nan,nan,nan,0.6986610708890983,0.30020392156862746,0.11946510826101468
lattice,0.0,2,625,0.04439390771756862,0.04439390771756862,0.02300416533701882,0.05742032825946808,0.26720767867083295,0.20978735041136487,0.22778397542611326,0.14831138041676115,0.39933446049690247,nan,nan,nan,0.6358164429510549,0.3276235294117647,0.13559005686337938
lattice,1.0,0,625,0.04468620014833187,0.04327464392463997,0.04468620014833187,0.13439765572547913,0.3017790706778654,0.1673814149523863,0.4192251794240895,0.17924370606803228,0.40157926082611084,nan,nan,nan,0.49617239677877345,0.3354980392156863,0.129665439857969
lattice,1.0,1,625,0.06156804607410965,0.053034991668292876,0.06156804607410965,0.1535681039094925,0.3156111220556937,0.1620430181462012,0.46473582571929006,0.18435299838218,0.3851059377193451,nan,nan,nan,0.6269349550225713,0.31099607843137256,0.12770667616667195
lattice,1.0,2,625,0.07198844405922389,0.04838079877681954,0.07198844405922389,0.1528121381998062,0.3267179752809195,0.1739058370811133,0.4009066188658977,0.19415530870568098,0.3908989131450653,nan,nan,nan,0.6820256472784264,0.3159843137254902,0.1452559670325387
lattice,2.0,0,625,0.10750983379684913,0.07936996084519626,0.10750983379684913,0.3063553273677826,0.40618395721913203,0.09982862985134944,0.7407083503416568,0.37315039385517573,0.37485232949256897,nan,nan,nan,0.6570382422232108,0.301678431372549,0.11379019273283245
lattice,2.0,1,625,0.10641695335738048,0.08237443991705312,0.10641695335738048,0.3326166272163391,0.41467783863170815,0.08206121141536904,0.7888588340773375,0.3885286734691713,0.3686056137084961,nan,nan,nan,0.6231761932239845,0.29138823529411767,0.10976552217089895
lattice,2.0,2,625,0.10898300505967842,0.09257303428656403,0.10898300505967842,0.3444172441959381,0.4233904949013541,0.078973250705416,0.7716589429211804,0.3967732955604778,0.3741716742515564,nan,nan,nan,0.6124851600101922,0.3004862745098039,0.11224335347877983
lattice,2.5,0,625,0.14122525653438664,0.14122525653438664,0.08121345584813965,0.4218685030937195,0.49205279655039175,0.07018429345667226,0.8556791326445126,0.5388908916073385,0.3474549353122711,nan,nan,nan,0.5854105374550134,0.2636235294117647,0.08100343257267503
lattice,2.5,1,625,0.14057999256022888,0.14057999256022888,0.09653317029650611,0.4262886643409729,0.49218103164008026,0.06589236729910736,0.8467248662188057,0.4994528293421779,0.3339976668357849,nan,nan,nan,0.5831757456937163,0.24734117647058823,0.09328413368683096
